"Site";"Recif_type";"Year";"Month";"Temperature";"sd.Temperature";"depth";"sd.depth";"nb"
"Boueni";"Frangeant";2015;"Dec";29.8328843069874;0.5688624510513;4.36069873997709;0.858658703033892;4365
"Boueni";"Frangeant";2015;"Nov";28.1112838158519;0.439289166052844;4.381867584243;0.877495194735698;4214
"Boueni";"Frangeant";2015;"Oct";27.3257528604119;0.715328550719712;4.39678489702517;0.944941372389901;4370
"Boueni";"Frangeant";2015;"Sept";26.4835205798602;0.30913542762622;4.31762878591768;0.906190271294309;3863
"Double_barriere";"Interne";2015;"Dec";29.2742538636939;0.511708000679684;6.47877375221687;0.844938819055837;3947
"Double_barriere";"Interne";2015;"Nov";27.6539623135305;0.200039531808502;6.50971211724679;0.865144736147671;3821
"Double_barriere";"Interne";2015;"Oct";26.8055332496863;0.402132896474302;6.44737515683814;0.931679662765683;3985
"Double_barriere";"Interne";2015;"Sept";26.4113484111079;0.259847711250823;6.33229315774406;0.905577558012419;3493
"Hajangoua";"Interne";2015;"Dec";29.1735197974217;0.391488266654644;2.13164364640884;0.815495293033536;4344
"Hajangoua";"Interne";2015;"Nov";28.1375703385789;0.345907883277268;2.13089413447783;0.844943962511321;4194
"Hajangoua";"Interne";2015;"Oct";27.3089677419355;0.397556020535348;2.19617050691244;0.893879415139205;4340
"Hajangoua";"Interne";2015;"Sept";26.8513771240172;0.318488718767061;2.15124017245752;0.868608589454097;3943
"Longoni";"Frangeant";2015;"Dec";28.992348728081;0.421235702070235;7.57342800691529;0.811777379975767;4049
"Longoni";"Frangeant";2015;"Nov";27.9940418300654;0.279683918887193;7.59537516339869;0.841820676834291;3825
"Longoni";"Frangeant";2015;"Oct";26.9073692040665;0.55725072440953;7.57652615918671;0.919878198821569;4033
"Longoni";"Frangeant";2015;"Sept";26.5435838629456;0.297499444791208;7.50005526388505;0.878955764702536;3619
"Passe_bateau";"Barriere";2015;"Dec";29.3646136645963;0.534577745390612;3.93525217391304;0.841506679303849;4025
"Passe_bateau";"Barriere";2015;"Nov";27.6555055894309;0.31853252857497;3.91986026422764;0.867533509218876;3936
"Passe_bateau";"Barriere";2015;"Oct";26.738769379845;0.738828099829423;3.89332122093023;0.945561009658009;4128
"Passe_bateau";"Barriere";2015;"Sept";26.3421810584958;0.28761295154195;3.78529247910864;0.918693853197733;3590
"Passe_S_ext";"Barriere";2015;"Dec";28.9723371743487;0.553146280705668;5.79254258517034;0.78146161663337;3992
"Passe_S_ext";"Barriere";2015;"Nov";27.4923419503455;0.448805854600849;5.79817762989506;0.820387901820454;3907
"Passe_S_ext";"Barriere";2015;"Oct";26.7283140376266;0.489911026885182;5.6454486251809;0.872070870555098;4146
"Passe_S_ext";"Barriere";2015;"Sept";26.3619947299078;0.28295339752316;5.49161001317523;0.855276663740535;3795
"Saziley";"Frangeant";2015;"Dec";29.1979502688172;0.524391764854489;2.63909498207885;0.841939033576556;4464
"Saziley";"Frangeant";2015;"Nov";27.710337962963;0.310684888471481;2.64722222222222;0.86358606440717;4320
"Saziley";"Frangeant";2015;"Oct";26.9331578947368;0.498221225226481;2.59241881298992;0.910035604883102;4465
"Saziley";"Frangeant";2015;"Sept";26.5179158316633;0.332721426891421;2.45671342685371;0.886065190018345;3992
"Tanaraki";"Frangeant";2015;"Dec";29.2286034563288;0.51775187596148;5.1927043437646;0.850980593764947;4282
"Tanaraki";"Frangeant";2015;"Nov";27.7618955188114;0.379167386027077;5.17109753175174;0.872078298822545;4173
"Tanaraki";"Frangeant";2015;"Oct";26.8494599542334;0.709141422903267;5.16626086956522;0.940726540031378;4370
"Tanaraki";"Frangeant";2015;"Sept";26.4162857142857;0.300001652157945;5.09028571428571;0.911984614672461;3990
"Boueni";"Frangeant";2016;"Apr";30.0651168956375;0.423120459122536;4.17188479151603;0.898971964680313;4149
"Boueni";"Frangeant";2016;"Aug";25.6598721821985;0.228495997043396;4.27148268649779;0.903229695051236;4303
"Boueni";"Frangeant";2016;"Feb";29.2123837638376;0.809807957167764;4.31610086100861;0.911947397479392;4065
"Boueni";"Frangeant";2016;"Jan";30.6397014925373;0.597185869540734;4.29483352468427;0.866141178285858;4355
"Boueni";"Frangeant";2016;"Jul";25.6431088925006;0.299427488990836;4.30503598792663;0.86627455229773;4307
"Boueni";"Frangeant";2016;"Jun";26.8082551957467;0.364084476524665;4.25750604156597;0.871870793621875;4138
"Boueni";"Frangeant";2016;"Mar";30.8021919704661;0.56042761201055;4.26776649746193;0.910131954898748;4334
"Boueni";"Frangeant";2016;"May";28.4786829268293;0.884535933633677;4.17796051103368;0.863942599571729;4305
"Boueni";"Frangeant";2016;"Sept";25.4211713665944;0.267661918832987;4.41434381778742;0.830374895237739;1844
"Double_barriere";"Interne";2016;"Apr";29.9307135105806;0.335453771722122;6.3290423223006;0.906183539745841;3686
"Double_barriere";"Interne";2016;"Aug";25.6296702453988;0.199502881682657;6.3240490797546;0.899290163349621;3912
"Double_barriere";"Interne";2016;"Feb";28.9404998619166;0.374559112924204;6.37333609500138;0.905450820220334;3621
"Double_barriere";"Interne";2016;"Jan";29.742233463035;0.327363019314893;6.40488197146563;0.856508995814408;3855
"Double_barriere";"Interne";2016;"Jul";25.5669474497682;0.269050132963844;6.41069551777434;0.865922352620812;3882
"Double_barriere";"Interne";2016;"Jun";26.802490646713;0.302159114086011;6.37411277391769;0.870111387328716;3742
"Double_barriere";"Interne";2016;"Mar";30.2957953367876;0.298876300229867;6.37171502590674;0.91540871412555;3860
"Double_barriere";"Interne";2016;"May";28.3330920881971;0.75659490077501;6.335364461738;0.865306587956061;3855
"Double_barriere";"Interne";2016;"Sept";25.4779869621904;0.423191250461804;6.45687874837027;0.925351649468584;3835
"Hajangoua";"Interne";2016;"Apr";30.1166840696991;0.140374454377139;2.0627644717092;0.812724676876024;15323
"Hajangoua";"Interne";2016;"Aug";25.9243356643357;0.208277677457781;2.04136234136234;0.844488567994056;3861
"Hajangoua";"Interne";2016;"Feb";29.2478485552972;0.455743618965006;2.09523347725008;0.829340414869781;15055
"Hajangoua";"Interne";2016;"Jan";29.5883201701094;0.256352267494524;2.06706865127582;0.803364452797028;6584
"Hajangoua";"Interne";2016;"Jul";25.7810174069628;0.314580024124416;2.04463385354142;0.806113096714491;13328
"Hajangoua";"Interne";2016;"Jun";26.9464491844417;0.397615117582174;2.07441775706518;0.789316335008618;16737
"Hajangoua";"Interne";2016;"Mar";30.2790607698392;0.284858980635111;2.06122726074347;0.804625853251424;15172
"Hajangoua";"Interne";2016;"May";28.570591197204;0.837147396943475;2.05793080978615;0.806261236491222;16881
"Hajangoua";"Interne";2016;"Sept";26.0895679012346;0.401914211252358;2.10901234567901;0.876349282352097;3888
"Longoni";"Frangeant";2016;"Apr";29.8359880239521;0.264559727794434;7.47535383777899;0.850848232298428;3674
"Longoni";"Frangeant";2016;"Aug";25.7637740760021;0.255791686948975;7.50830817282665;0.852908924024053;3842
"Longoni";"Frangeant";2016;"Feb";29.0248546352167;0.512812860230455;7.42994240263302;0.870627556628347;3646
"Longoni";"Frangeant";2016;"Jan";29.6498983997968;0.305741700855895;7.4854762509525;0.844935794577733;3937
"Longoni";"Frangeant";2016;"Jul";25.6399713392392;0.32533949984729;7.50411933298593;0.827278977416469;3838
"Longoni";"Frangeant";2016;"Jun";26.8803661263276;0.252228879054864;7.43788708775852;0.808278875384205;3578
"Longoni";"Frangeant";2016;"Mar";30.1848708949611;0.27398644188854;7.4599097518175;0.890359540980107;3989
"Longoni";"Frangeant";2016;"May";28.5132672750978;0.66865594464694;7.46942372881356;0.832561743954323;3835
"Longoni";"Frangeant";2016;"Sept";25.7451252609603;0.319308645248603;7.6003627348643;0.919807924832595;3832
"Passe_bateau";"Barriere";2016;"Apr";29.8560552828726;0.500282520742615;3.89560320330664;0.906550061830412;3871
"Passe_bateau";"Barriere";2016;"Aug";25.5900537109375;0.224293103732215;3.72608642578125;0.906125453287405;4096
"Passe_bateau";"Barriere";2016;"Feb";29.0757912813738;0.491402955280948;3.85486129458388;0.916388944565514;3785
"Passe_bateau";"Barriere";2016;"Jan";29.7633571252769;0.406268281431249;3.83295348264829;0.864254182817778;4063
"Passe_bateau";"Barriere";2016;"Jul";25.5493982947625;0.321281097048485;3.81872350791717;0.879478972436778;4105
"Passe_bateau";"Barriere";2016;"Jun";26.8481559563119;0.325941106239287;3.8095173990348;0.880971678510693;3937
"Passe_bateau";"Barriere";2016;"Mar";30.408084947839;0.367256383087779;3.89816194734228;0.898651079997241;4026
"Passe_bateau";"Barriere";2016;"May";28.1544739405748;0.72182066355273;3.89696298100341;0.884776515940788;4106
"Passe_bateau";"Barriere";2016;"Sept";25.1698866090713;0.255633529592925;3.87172246220302;0.822282997256598;1852
"Passe_S_ext";"Barriere";2016;"Apr";29.9020346211741;0.24907547959419;5.73810336176618;0.852081525634411;3986
"Passe_S_ext";"Barriere";2016;"Aug";25.8235535800096;0.242514139875042;5.72317876021144;0.871456921107089;4162
"Passe_S_ext";"Barriere";2016;"Feb";28.9403222222222;0.342433564914667;5.740725;0.839286702755418;3600
"Passe_S_ext";"Barriere";2016;"Jan";29.4549045558666;0.286192341469503;5.72651819801476;0.795576391391116;3929
"Passe_S_ext";"Barriere";2016;"Jul";25.6738038562247;0.310640357961823;5.74659604855987;0.846627022435332;4201
"Passe_S_ext";"Barriere";2016;"Jun";26.8669838509317;0.366143862463187;5.70710062111801;0.827358047059378;4025
"Passe_S_ext";"Barriere";2016;"Mar";29.9098893081761;0.340361996557272;5.75061383647799;0.838212098729021;3975
"Passe_S_ext";"Barriere";2016;"May";28.3915504631887;0.714631926454624;5.75932471964895;0.867911589145118;4102
"Passe_S_ext";"Barriere";2016;"Sept";25.6492266795553;0.369109599431132;5.82256645722571;0.891897774349639;4138
"Saziley";"Frangeant";2016;"Apr";29.9421481481481;0.309606650633518;2.54568518518519;0.88435756397585;4320
"Saziley";"Frangeant";2016;"Aug";25.6502464157706;0.29554945429382;2.4955667562724;0.889076988050192;4464
"Saziley";"Frangeant";2016;"Feb";28.9976221264368;0.357100595604323;2.56433189655172;0.890777892703715;4176
"Saziley";"Frangeant";2016;"Jan";29.7421110364898;0.344947536177836;2.58197895679427;0.849186342477505;4467
"Saziley";"Frangeant";2016;"Jul";25.552313549832;0.31849866260355;2.56944008958567;0.852736450173903;4465
"Saziley";"Frangeant";2016;"Jun";26.7778680555556;0.371887504491808;2.55280787037037;0.851638389463;4320
"Saziley";"Frangeant";2016;"Mar";30.248302731751;0.350182142561581;2.57216300940439;0.888335976680296;4466
"Saziley";"Frangeant";2016;"May";28.3113440860215;0.80426976961013;2.51485887096774;0.855963450406184;4464
"Saziley";"Frangeant";2016;"Sept";25.5256283267762;0.505047833976957;2.632244850729;0.913982664677257;4321
"Tanaraki";"Frangeant";2016;"Apr";29.8431051226026;0.407629337636379;5.14386501578053;0.893924296636869;4119
"Tanaraki";"Frangeant";2016;"Aug";25.7604889298893;0.213212244038092;5.15793588560886;0.910480845136315;4336
"Tanaraki";"Frangeant";2016;"Feb";29.0038253012048;0.431938190781035;5.11599648594377;0.910225262563773;3984
"Tanaraki";"Frangeant";2016;"Jan";29.9418674418605;0.520186795327855;5.10008604651163;0.866825276005133;4300
"Tanaraki";"Frangeant";2016;"Jul";25.6751892874855;0.322287933296788;6.01075714994214;1.65173468479572;6049
"Tanaraki";"Frangeant";2016;"Jun";26.8428507960015;0.308532080594398;6.608848574602;1.79197661046437;8103
"Tanaraki";"Frangeant";2016;"Mar";30.1796003761166;0.318104810189273;5.12959567465914;0.909018702914259;4254
"Tanaraki";"Frangeant";2016;"May";28.373759310987;0.759257585290603;5.1315782122905;0.876575289076992;4296
"Tanaraki";"Frangeant";2016;"Sept";25.418313641246;0.235817150671987;5.29972073039742;0.852932248238904;1862
